Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date,Location
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,No Different than National Benchmark,0.775,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,No Different than National Benchmark,5.883,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CLABSI: Number of Device Days,HAI_1_DOPC_DAYS,No Different than National Benchmark,2436,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CLABSI: Predicted Cases,HAI_1_ELIGCASES,No Different than National Benchmark,1.640,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CLABSI: Observed Cases,HAI_1_NUMERATOR,No Different than National Benchmark,4,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,2.439,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CAUTI: Lower Confidence Limit,HAI_2_CI_LOWER,No Different than National Benchmark,0.493,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CAUTI: Upper Confidence Limit,HAI_2_CI_UPPER,No Different than National Benchmark,3.743,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CAUTI: Number of Urinary Catheter Days,HAI_2_DOPC_DAYS,No Different than National Benchmark,3445,,01/01/2015,12/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,CAUTI: Predicted Cases,HAI_2_ELIGCASES,No Different than National Benchmark,2.578,,01/01/2015,12/31/2015,
