Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date,Location
330084,ALICE HYDE MEDICAL CENTER,133 PARK STREET,MALONE,NY,12953,FRANKLIN,5184833000,Pressure sores,PSI_3_ULCER,No Different than the National Rate,481,1.20,0.00,2.50,,07/01/2013,06/30/2015,
330164,HIGHLAND HOSPITAL,1000 SOUTH AVENUE,ROCHESTER,NY,14620,MONROE,5854732200,Pressure sores,PSI_3_ULCER,No Different than the National Rate,1609,0.69,0.00,1.68,,07/01/2013,06/30/2015,
330043,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,6319683000,Pressure sores,PSI_3_ULCER,Worse than the National Rate,3661,2.08,1.45,2.71,,07/01/2013,06/30/2015,
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,7186702000,Pressure sores,PSI_3_ULCER,No Different than the National Rate,6570,0.39,0.00,0.86,,07/01/2013,06/30/2015,
330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,ALBANY,5185251550,Pressure sores,PSI_3_ULCER,No Different than the National Rate,5339,0.22,0.00,0.77,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,26,2.8,1.6,4.9,,04/01/2012,03/31/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,469,5.50,1.38,9.62,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,44,10.92,2.95,18.88,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,68,2.23,0.00,4.52,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,2415,1.00,0.00,2.12,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Pressure sores,PSI_3_ULCER,No Different than the National Rate,895,0.22,0.00,1.26,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,2347,0.42,0.11,0.73,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Infections from a large venous catheter,PSI_7_CVCBI,No Different than the National Rate,1631,0.14,0.00,0.45,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Broken hip from a fall after surgery,PSI_8_POST_HIP,No Different than the National Rate,242,0.06,0.06,0.06,,07/01/2013,06/30/2015,
330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713221,Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,0.80,0.42,1.19,,07/01/2013,06/30/2015,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,Not Available,7 - No cases met the criteria for this measure.,04/01/2012,03/31/2015,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,680,6.63,2.83,10.42,,07/01/2013,06/30/2015,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Blood stream infection after surgery,PSI_13_POST_SEPSIS,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1 - The number of cases/patients is too few to report.,07/01/2013,06/30/2015,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,140,2.67,0.42,4.91,,07/01/2013,06/30/2015,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,7627,1.50,0.53,2.47,,07/01/2013,06/30/2015,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Pressure sores,PSI_3_ULCER,No Different than the National Rate,2616,0.49,0.00,1.33,,07/01/2013,06/30/2015,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,32,186.27,136.48,236.06,,07/01/2013,06/30/2015,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,7284,0.34,0.06,0.62,,07/01/2013,06/30/2015,
